"uniprot_gn_id","external_gene_name"
"Q61578","Fdxr"
"Q61586","Gpam"
"Q61598","Gdi2"
"Q61625","Grid2"
"Q61694","Hsd3b5"
"Q61733","Mrps31"
"Q61753","Phgdh"
"Q61768","Kif5b"
"Q61838","Pzp"
"Q61879","Myh10"
"Q62108","Dlg4"
"Q62261","Sptbn1"
"Q62418","Dbnl"
"Q62420","Sh3gl2"
"Q62425","Ndufa4"
"Q62442","Vamp1"
"Q63880","Ces3a"
"Q63886","Ugt1a1"
"Q64332","Syn2"
"Q64444","Car4"
"Q64458","Cyp2c29"
"Q64521","Gpd2"
"Q64727","Vcl"
"Q68FD5","Cltc"
"Q69ZK9","Nlgn2"
"Q6GQS1","Slc25a23"
"Q6GQT9","Nomo1"
"Q6IM74","Rtn2"
"Q6NVE9","Pptc7"
"Q6P3A8","Bckdhb"
"Q6P8J7","Ckmt2"
"Q6P8X1","Snx6"
"Q6PB66","Lrpprc"
"Q6PDI6","Mindy2"
"Q6PDS5","Pde1b"
"Q6PE15","Abhd10"
"Q6PGE7","Slc6a7"
"Q6PIC6","Atp1a3"
"Q6RI64","Psmb1"
"Q6ZQ38","Cand1"
"Q6ZWQ5","Snx12"
"Q6ZWR0","Rap2b"
"Q6ZWV7","Rpl35"
"Q6ZWV7","Gm2000"
"Q71LX8","Hsp90ab1"
"Q78IK2","Atp5md"
"Q78IK4","Apool"
"Q78ZJ8","Rab11b"
"Q791T5","Mtch1"
"Q792A4","Cox7a1"
"Q7GIP5","mt-Nd3"
"Q7JCX7","mt-Co3"
"Q7JCY9","mt-Atp6"
"Q7JCZ0","mt-Atp8"
"Q7JCZ1","mt-Co2"
"Q7TMF3","Ndufa12"
"Q7TMG8","Nipsnap2"
"Q7TMM9","Tubb2a"
"Q7TMY8","Huwe1"
"Q7TNS2","Micos10"
"Q7TQ48","Srl"
"Q7TQD5","Cpt1a"
"Q7TQF7","Amph"
"Q7TQI3","Otub1"
"Q7TSJ2","Map6"
"Q7TSQ8","Pdpr"
"Q80SU3","Zar1"
"Q80SW1","Ahcyl1"
"Q80T41","Gabbr2"
"Q80TB8","Vat1l"
"Q80TF6","Stard9"
"Q80X35","Map2"
"Q80Y52","Hsp90aa1"
"Q8BGZ7","Krt75"
"Q8BTU6","Eif4a2"
"Q8C446","Gabrb3"
"Q8CFE3","Rcor1"
"Q8CHR4","Vamp2"
"Q8K169","Ugt2b5"
"Q8K1K2","Psmc5"
"Q8R1A8","Otc"
"Q921L6","Cttn"
"Q9CQM8","Rpl21"
"Q9DCY1","Ppib"
"Q9EQ83","Sgcg"
"Q9JI95","Hspe1-rs1"
"Q9MD59","mt-Nd2"
"Q9MD68","mt-Co1"
"Q9MD82","mt-Nd5"
"Z4YKM2","Cisd3"
"Z4YKV1","Gnas"
"A0A076FSX1","Slc12a5"
"A0A087WQH8","Slc35a4"
"A0A087WRJ2","Abhd14b"
"A0A087WSS1","Relch"
"A0A087WSU3","Ndufs1"
"A0A0A6YVU8","Gm9774"
"A0A0A6YWF5","Slc38a3"
"A0A0A6YX18","Atp6v1h"
"A0A0A6YX73","Prkar2a"
"A0A0A6YXD3","Ndufs2"
"A0A0A6YXW4","Mrpl30"
"A0A0A6YY47","Ncam1"
"A2A5N2","Ywhab"
"A2A6T4","Mrpl58"
"A2AE27","Ampd2"
"A2AFG7","L1cam"
"A2AKD6","Pxmp4"
"A2AKH7","Lrrc57"
"A2AKU9","Atp5c1"
"A2AKV3","Atp5c1"
"A2AQ17","Ndufaf1"
"A2AVJ7","Rrbp1"
"A2AWI7","Sh3glb2"
"A2RSW6","Amt"
"A3KGU5","Sptan1"
"A6PWX7","Uqcc1"
"A8Y5N4","Hsd17b13"
"B1AQX6","Srcin1"
"B1AU25","Aifm1"
"B1AWN6","Scn2a"
"B1B1D7","Mrpl2"
"B2KF83","Mthfs"
"B2RS41","Aldh5a1"
"B2RSN3","Tubb2b"
"B2RSR0","Cyp4v3"
"B2RUC7","Strap"
"B2RV71","Card19"
"B2RXT3","Ogdhl"
"B9EHZ5","Mpp6"
"B9EIC7","Phyhip"
"D0VYV6","Epb41l3"
"D3YTP3","Mtx3"
"D3YUM1","Ndufv1"
"D3YVC9","Slc25a16"
"D3YVI6","Cops7a"
"D3YVQ5","Sirt3"
"D3YY38","Slc7a14"
"D3YYG8","Prxl2a"
"D3YYK0","Abhd11"
"D3YZ54","Hacl1"
"D3YZ62","Myo5a"
"D3Z0D9","Dnajc12"
"D3Z0G0","Nif3l1"
"D3Z0U5","Katnal2"
"D3Z140","Zfp105"
"D3Z1G7","Mmab"
"D3Z1H9","Gltp"
"D3Z2K2","Mrps14"
"D3Z396","Ntm"
"D3Z3B8","Dlg1"
"D3Z494","Akr1b10"
"D3Z4D6","Uqcc2"
"D3Z4T6","Negr1"
"D3Z5T2","Armc10"
"D3Z636","Ppa2"
"D3Z645","Vps29"
"D3Z6I8","Tpm3"
"D3Z7X0","Acad12"
"D6REF2","Stag1"
"D6REG4","Grhpr"
"D6REH1","Pxmp2"
"D6RFU9","Sypl"
"E0CXW2","Adck5"
"E0CZ52","H1f8"
"E9PUC5","Psd3"
"E9PUM4","Tln2"
"E9PUT1","Tbrg4"
"E9PWK1","Ephx1"
"E9PXB9","Timm22"
"E9PYA3","Hagh"
"E9PZF0","Gm20390"
"E9Q0I8","Homer1"
"E9Q1K3","Add1"
"E9Q2W9","Actn4"
"E9Q397","Sptb"
"E9Q3V2","Slc35a3"
"E9Q3W4","Plec"
"E9Q456","Tpm1"
"E9Q4M4","Chchd6"
"E9Q5I9","Psmd13"
"E9Q5X7","Ralyl"
"E9Q6Q4","Rap1gds1"
"E9Q7N5","Gfm2"
"E9Q7S0","Synj1"
"E9Q800","Immt"
"E9Q8N8","Slc4a4"
"E9Q919","Dctn3"
"E9Q933","Tmem11"
"E9Q9C6","Fcgbp"
"E9QA46","Pex3"
"E9QA63","Macf1"
"E9QJS0","Mrps10"
"E9QNH7","Acbd5"
"F6RJV6","Lancl2"
"F6ZFT1","Ndufab1"
"F7AAP4","Atp2b4"
"F7BP55","Ak2"
"F7CZ64","Cacng8"
"F8VPK5","Rock2"
"G3UYZ1","Igsf8"
"G3UZM4","Cadm2"
"G3X9F4","Tmem143"
"H3BJ37","Comtd1"
"H3BJP2","Esd"
"H3BKL8","Dusp3"
"H3BLR8","Nudt3"
"I3ITR1","AK157302"
"J3QMN4","Txnrd2"
"J3QQ44","Sh3gl3"
"K3W4L0","Myo18a"
"Q0PD15","Rab39"
"Q0PD66","Rab1b"
"Q0VB06","Necap1"
"Q149D1","Thnsl1"
"Q14AZ9","Zadh2"
"Q14B21","Mrpl9"
"Q14DI6","Acot4"
"Q1XG81","Higd1a"
"Q1XID4","Atp6ap2"
"Q2KHK7","Mal2"
"Q3TA40","6430548M08Rik"
